HGNC ID	Status	Approved symbol	Alias symbol	Previous symbol	Ensembl gene ID
HGNC:39884	Approved	ARF1P3			ENSG00000253885
HGNC:44341	Approved	ARF2P	MGC57346		
HGNC:657	Approved	ARF4P1		ARF4P	ENSG00000271525
HGNC:16599	Approved	ARF4P2	dJ885L7.7		ENSG00000236527
HGNC:32380	Approved	ARF4P3			ENSG00000214051
HGNC:37628	Approved	ARF4P4			ENSG00000231222
HGNC:37629	Approved	ARF4P5			
HGNC:17252	Approved	ARGFXP1			ENSG00000240058
HGNC:23977	Approved	ARGFXP2			ENSG00000265293
HGNC:19921	Approved	ARHGAP16P		ARHGAP15P	ENSG00000258894
HGNC:45039	Approved	ARHGAP23P1			ENSG00000260781
HGNC:28630	Approved	ARHGAP27P1	loc146880		
HGNC:53771	Approved	ARHGAP27P2			ENSG00000267472
HGNC:43940	Approved	ARHGAP42P1			ENSG00000227817
HGNC:43939	Approved	ARHGAP42P2			ENSG00000231147
HGNC:19327	Approved	ARHGAP42P3		OPHN1P1	ENSG00000235759
HGNC:43941	Approved	ARHGAP42P4			ENSG00000258080
HGNC:43942	Approved	ARHGAP42P5			ENSG00000258233
HGNC:38086	Approved	ARHGEF34P			ENSG00000204959
HGNC:54553	Approved	ARID3BP1			ENSG00000227288
HGNC:31732	Approved	ARIH2P1		ARIH2P	ENSG00000266296
HGNC:17742	Approved	ARL2BPP1	HsT2883		ENSG00000265934
HGNC:31036	Approved	ARL2BPP2	bcm1040	ARL2BPL	ENSG00000258071
HGNC:39447	Approved	ARL2BPP3			ENSG00000215486
HGNC:39448	Approved	ARL2BPP4			ENSG00000249312
HGNC:39449	Approved	ARL2BPP5			ENSG00000254351
HGNC:39450	Approved	ARL2BPP6			ENSG00000248355
HGNC:39451	Approved	ARL2BPP7			ENSG00000230418
HGNC:39452	Approved	ARL2BPP8			ENSG00000263125
HGNC:39453	Approved	ARL2BPP9			
HGNC:39454	Approved	ARL2BPP10			ENSG00000225225
HGNC:17741	Approved	ARL4AP1	Em:AC022390.2	ARL4B	ENSG00000122872
HGNC:17741	Approved	ARL4AP1	Em:AC022390.2	ARL4P	ENSG00000122872
HGNC:32379	Approved	ARL4AP2		ARL4P2	ENSG00000248780
HGNC:52372	Approved	ARL4AP3			ENSG00000228291
HGNC:52373	Approved	ARL4AP4			ENSG00000231395
HGNC:52374	Approved	ARL4AP5			ENSG00000218996
HGNC:43933	Approved	ARL5AP1			ENSG00000227864
HGNC:43937	Approved	ARL5AP2			ENSG00000236818
HGNC:43935	Approved	ARL5AP3			ENSG00000228431
HGNC:43936	Approved	ARL5AP4			ENSG00000224806
HGNC:55001	Approved	ARL5AP5			ENSG00000232332
HGNC:23178	Approved	ARL6IP1P1		ARL6IPP1	ENSG00000255664
HGNC:44971	Approved	ARL6IP1P2			ENSG00000225355
HGNC:44972	Approved	ARL6IP1P3			ENSG00000255014
HGNC:54676	Approved	ARL14EPP1			ENSG00000224891
HGNC:49918	Approved	ARMC8P1			ENSG00000225254
